search_term,category,brand,model,tier,gender
Celine Ballet Lace-Up Shoes,Shoes,Celine,Ballet Lace-Up Shoes,Luxury,W
Alaia Mesh,Shoes,Alaia,Mesh / Fishnet Ballet Flats,Luxury,W
Alaia Studded,Shoes,Alaia,Studded / Crystal Mary Janes,Luxury,W
Alaia Wedge Mule,Shoes,Alaia,Wedge Mule,Luxury,W
The Row Canal Loafer,Shoes,The Row,Canal Loafer,Ultra-luxury,W
The Row Eel-Print Loafers,Shoes,The Row,Eel-Print Loafers,Ultra-luxury,W
Loro Piana Summer Walk Loafer,Shoes,Loro Piana,Summer Walk Loafer,Ultra-luxury,W
Loewe Origami Pump,Shoes,Loewe,Origami Pump,Luxury,W
Khaite Bella Slingback,Shoes,Khaite,Bella Slingback,Contemporary luxury,W
Miu Miu Miu Ballet,Shoes,Miu Miu,Miu Ballet / Ballet Flats,Luxury,W
adidas Samba Jane,Shoes,adidas,Samba Jane,Sneaker,W
adidas BadBo 1.0 x Bad Bunny 'Resilience',Shoes,adidas,BadBo 1.0 x Bad Bunny 'Resilience',Sneaker,W
adidas Taekwondo,Shoes,adidas,Taekwondo / Speedcat-style slim silhouettes,Sneaker,W
New Balance 204L,Shoes,New Balance,204L,Sneaker,W
Nike Total 90 3,Shoes,Nike,Total 90 3,Sneaker,W
Nike Air Rift,Shoes,Nike,Air Rift (+ SKIMS collab 2026),Sneaker,W
Nike / Jordan Jordan 5 Retro 'Wolf Grey',Shoes,Nike / Jordan,Jordan 5 Retro 'Wolf Grey',Sneaker,W
Nike Mind 001 Recovery Slide,Shoes,Nike,Mind 001 Recovery Slide,Sneaker,W
Onitsuka Tiger TGRS,Shoes,Onitsuka Tiger,TGRS,Sneaker,W
Puma Speedcat,Shoes,Puma,Speedcat / Speedcat Ballet,Sneaker,W
Balenciaga x Puma Sneakerina collab,Shoes,Balenciaga x Puma,Sneakerina collab,Luxury sneaker,W
Village PM 1PM Sneakers,Shoes,Village PM,1PM Sneakers,Contemporary,W
Chloe Jelly Mules,Shoes,Chloe,Jelly Mules / Doll Heels,Luxury,W
Various Thick-strap flip-flops,Shoes,Various,"Thick-strap flip-flops (Staud, Rag & Bone Gracie)",Contemporary,W
Isabel Marant Bekett Wedge Sneaker,Shoes,Isabel Marant,Bekett Wedge Sneaker,Luxury,W
Paraboot Michael,Shoes,Paraboot,Michael,Contemporary,W
Dries Van Noten Leather Ballerina Sneaker,Shoes,Dries Van Noten,Leather Ballerina Sneaker,Luxury,W
Larroude Loulou Raffia Mule,Shoes,Larroude,Loulou Raffia Mule,Contemporary,W
Steve Madden Tracie Jelly,Shoes,Steve Madden,Tracie Jelly / Mino / Playing wedge,Mass market,W
Louis Vuitton Christopher Backpack,Bag,Louis Vuitton,Christopher Backpack,Luxury,M
Louis Vuitton Keepall 45,Bag,Louis Vuitton,Keepall 45 Bandouliere,Luxury,M
Goyard Cardholder,Accessory,Goyard,Saint Sulpice Cardholder,Ultra-luxury,M
Prada Re-Nylon Crossbody,Bag,Prada,Re-Nylon Crossbody,Luxury,M
Bottega Veneta Cassette Crossbody,Bag,Bottega Veneta,Cassette Crossbody,Luxury,M
Dior Saddle Mens Pouch,Bag,Dior,Saddle Bag (mens),Ultra-luxury,M
Loro Piana Summer Walk Mens,Shoes,Loro Piana,Summer Walk Loafer (mens),Ultra-luxury,M
Gucci Horsebit Loafer,Shoes,Gucci,Horsebit 1953 Loafer,Luxury,M
Prada Monolith Loafer,Shoes,Prada,Monolith Brushed Loafer,Luxury,M
The Row Dean Loafer,Shoes,The Row,Dean Loafer,Ultra-luxury,M
Common Projects Achilles,Shoes,Common Projects,Achilles Low,Contemporary,M
Maison Margiela Replica Sneaker,Shoes,Maison Margiela,Replica Sneaker,Luxury,M
Adidas Samba OG Mens,Shoes,adidas,Samba OG,Sneaker,M
New Balance 1906R,Shoes,New Balance,1906R,Sneaker,M
Salomon XT-6,Shoes,Salomon,XT-6,Sneaker,M
Nike Air Max 95,Shoes,Nike,Air Max 95,Sneaker,M
Jordan 4 Retro Mens,Shoes,Nike / Jordan,Jordan 4 Retro,Sneaker,M
Hermes Clic H Bracelet Mens,Accessory,Hermes,Clic H Bracelet,Ultra-luxury,M
Cartier Santos Watch,Accessory,Cartier,Santos de Cartier,Ultra-luxury,M
Rolex Submariner,Accessory,Rolex,Submariner,Ultra-luxury,M
Omega Speedmaster,Accessory,Omega,Speedmaster,Luxury,M
Gucci GG Belt Mens,Accessory,Gucci,GG Marmont Belt,Luxury,M
Ferragamo Gancini Belt,Accessory,Ferragamo,Gancini Reversible Belt,Luxury,M
Ray-Ban Meta Wayfarer,Accessory,Ray-Ban,Meta Wayfarer,Contemporary,M
Loewe Puzzle Mens,Bag,Loewe,Puzzle (mens),Luxury,M
